 	194
который с	2
нему и	2
на бледном	2
кулаком и	2
 ваше	2
этот человек	2
ночи и	2
отец 	2
крепость я	2
то казалось	2
и право	2
и этого	2
часов в	2
молчания я	2
с которыми	2
в такой	2
землю я	2
против нее	2
же и	2
что нет	2
вам угодно	2
да неужели	2
 две	2
и скажи	2
богат и	2
дернув меня	2
он ему	2
чего 	2
бы ты	2
я пристально	2
кто крестил	2
ясно и	2
коня и	2
и поминутно	2
все ли	2
не боюсь	2
что всегда	2
car autrement	2
сказал максим	2
мне нет	2
страданий и	2
она быстро	2
но оно	2
еще его	2
высоком месте	2
руки но	2
милая княжна	2
сторону и	2
ее зовут	2
что право	2
сели верхом	2
права 	2
по причине	2
сам говорил	2
а знаешь	2
их числа	2
драгунскому капитану	2
меня она	2
отвечал тот	2
и опять	2
тьма охотников	2
при нем	2
во всех	2
до нашего	2
станет на	2
я твоя	2
чем когда-нибудь	2
в дом	2
и никто	2
гибкий стан	2
его на	2
с чувством	2
ничего нельзя	2
вчера ночью	2
сильном волнении	2
что здесь	2
не женишься	2
вдруг он	2
прощай я	2
тебе еще	2
в пятигорске	2
мнения 	2
на востоке	2
и о	2
в тебя	2
мне ни	2
на вид	2
волочился за	2
ты видишь	2
мой счет	2
но еще	2
раз и	2
помню 	2
шесть часов	2
там в	2
веры я	2
особенно когда	2
был прав	2
гамба le	2
 азамат	2
послушайте 	2
поехал на	2
отчего 	2
ущелье где	2
я выстрелил	2
полной уверенности	2
в щель	2
у которой	2
вас заставить	2
столу кулаком	2
он ушел	2
вы нынче	2
за то	2
было грустно	2
рассказывать так	2
странных случаев	2
да бог	2
ту сторону	2
и глаза	2
и ближе	2
в гроте	2
и пуля	2
не привыкла	2
это такое	2
с той	2
они 	2
его лице	2
расстались она	2
есть люди	2
не боится	2
откуда ветер	2
довольно крепко	2
грушницкий на	2
он конечно	2
мы остановились	2
в тени	2
за ними	2
я штабс-капитан	2
теперь вы	2
 слава	2
хромым старичком	2
вы уж	2
благородие 	2
день у	2
одну из	2
пошли в	2
поутру у	2
и мыслей	2
берегись грушницкий	2
по морю	2
быть 	2
бы хотелось	2
поднял ее	2
по пути	2
когда на	2
на шее	2
уж верно	2
другой 	2
и штука	2
из рук	2
очень хорошо	2
всех и	2
чая как	2
холоден как	2
что воздух	2
не сделает	2
я насилу	2
день был	2
чтоб она	2
или ты	2
pas les	2
к своему	2
с балкона	2
сказал вулич	2
при первом	2
капитану который	2
была покрыта	2
тяжело вздохнув	2
